name,Descripción,Área,Web,Última Actualización,Fuente de datos,gx_media_links,geometry
Jorge el ángel del Vallenato,"""Agrupación musical con 13 años de trayectoria, conformada por músicos jóvenes (entre los 15 y 25 años) pertenecientes a la comuna 3: Manrique.""",Músicas,https://www.facebook.com/jorgeelangeldelvallenato/,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://lh5.googleusercontent.com/-tyl9csjPdto/VCmORp84IKI/AAAAAAAADfE/JYQF74YH9m8/w480-h280-no/javallenato.jpg,"<Point><coordinates>-75.544861,6.279762,0.0</coordinates></Point>"
El Posilgo Hip Hop,"Producción musical de MC's y grupos de Hip Hop. Dj Sao, Dj Pelos, y Mopet MC. (produce 10 grupos actualmente). Proyectos internacionales",Músicas,https://www.facebook.com/UnTalMc/about,9/1/2014,Red Artística y Cultural Comuna 5.,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p160x160/10615424_10204133434112528_8302599229007206023_n.jpg?oh=161f56b3ac826ac30d9538b1b0cfb985&amp;oe=54F71050&amp;__gda__=1422555688_10a732ccc56ed381bbd69141f6adb4b1,"<Point><coordinates>-75.570483,6.291493,0.0</coordinates></Point>"
Corporación Artística y Cultural Lahum Kan y Tzolkin,"La Corporación cuenta con su grupo musical LAHUM KAN Y TZOLKIN conformado desde 2007 realizando diversos conciertos con su obra inédita en la comuna, la ciudad y algunos municipios del departamento de Antioquia.",Músicas,https://www.facebook.com/SEMILLAYHUMANIDAD,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/c39.24.294.294/s160x160/423828_403801592967972_443840862_n.jpg?oh=b4e3f727c36427a0dc49d136f3f25bce&amp;oe=54C63134&amp;__gda__=1422215847_56bd7d82ebd9e87ae7aeb1a8add95dc2,"<Point><coordinates>-75.566261,6.290707,0.0</coordinates></Point>"
Gua-Ska,"Banda que hace fusión de estilos mÃºsicales como Rock, punk y Ska",Músicas,http://www.facebook.com/guaskapunk,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c27.0.160.160/p160x160/1378711_526198047455568_706249230_n.jpg?oh=066650c96cf789b8d6e479bcc31959de&amp;oe=54CD200C&amp;__gda__=1421661389_c173752145af92d1ca1b01c99d81cedc,"<Point><coordinates>-75.575198,6.301148,0.0</coordinates></Point>"
La Sinfóniska,"""La Sinfoniska es una banda de SKA –PUNK colombiana originaria de la ciudad de Medellín. Fundada en 2010 por Jonathan Durango, Carlos Gonzales y Sebastián Ruiz. Sus principales influencias son norteamericanas de la 3ra ola del SKA tales como: Reel big fish, Less than Jake, Streetlight Manifesto, Catch 22 y Mad caddies.""",Músicas,https://www.facebook.com/la.sinfoniska?fref=ts,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/p118x90/10345530_10204304885758207_1696101474442166293_n.jpg?oh=5a6d8ceb31854584a42dc9708561fdf4&amp;oe=54ACE317&amp;__gda__=1421893842_41647172b2bff3dccacf17e83eeb60da,"<Point><coordinates>-75.560515,6.274963,0.0</coordinates></Point>"
Amor e Morte,Proyecto educativo y cultural que integra un componente musical (ensamble acústico) y un componente poético en su propuesta.,Músicas,https://www.facebook.com/AMOREMORTEMEDELLIN/,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c31.31.383.383/s160x160/382216_521733064532847_607802888_n.jpg?oh=94baa0affd5b4741bbc41595f98a64a6&amp;oe=54BA8399&amp;__gda__=1420952920_b7b9cf03d38c2e06c942f5e3b3b29c69,"<Point><coordinates>-75.550379,6.279506,0.0</coordinates></Point>"
Forgiven,"""Banda de rock que nace en Medellin en el año 2005, su discurso está basado en defender los valores, la moral, la ética, las creencias y la fé mediante historias o vivencias cotidianas del joven dejando en quien escucha una reflexión.""",Músicas,www.soyforgiven.com,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/c0.23.160.160/p160x160/10409419_1532288283660142_4813691006745974008_n.jpg?oh=303e650dd35d0604bcd0af4278572bc4&amp;oe=54BBC2E2&amp;__gda__=1422149980_e4fcdf1ec28f4b03abbca85df392d28d,"<Point><coordinates>-75.581764,6.283424,0.0</coordinates></Point>"
Los Ingenieros,"Grupo de música urbana: mezcla de reggaeton, rap, dance hall, mode up con influencias del pacífico, un show para el público en general. Ver más: http://goo.gl/o4ACk3",Músicas,https://www.facebook.com/LosIngenierosmedellin/,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/p160x160/1544551_564987026938818_2169997407265813922_n.jpg?oh=76e3f81c5c1b59222fbb27eda70b5b90&oe=551A61E4&__gda__=1428187941_3332d66ed7014ef382806b81052c4589,"<Point><coordinates>-75.528544,6.22912,0.0</coordinates></Point>"
Rap Del Vientre (RDV),"""Grupo conformado hace 4 años, nos dedicamos a hacer música RAP para todas las edades llevando un mensaje de bien, experiencias , desahogos y vivencias cotidianas..."" Ver más: http://goo.gl/JzXVob",Músicas,https://www.facebook.com/RapDelVientreRDV?fref=ts,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://www.hhdirecto.net/multimedia/get-image-gallery/id/21388/width/400/height/400,"<Point><coordinates>-75.551788,6.231838,0.0</coordinates></Point>"
Athemesis,"Athemesis se dedica a brindar presentaciones musicales en la ciudad y sus alrededores, y también apoya a bandas que apenas están comenzando para que puedan salir a la luz mas rápidamente.",Músicas,https://www.facebook.com/ATHEMESIS,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://yt3.ggpht.com/-RUTuO63XGTs/AAAAAAAAAAI/AAAAAAAAAAA/KCssByDYA_g/s100-c-k-no/photo.jpg,"<Point><coordinates>-75.575301,6.304012,0.0</coordinates></Point>"
Intérprete Deskonocido,"Grupo de punk hardcore libertario, que lleva 10 años en escena, y ha tocado en varios conciertos en la ciudad de medellín, autogestionados y de gran auge como el Rock comuna seis, y en algunas ciudades del país.",Músicas,https://www.facebook.com/interpretedeskonocido,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://scontent-a-mia.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s160x160/10613113_802100516488593_4665154068527055016_n.jpg?oh=23b5fbf6b8f6c31692f23acc734ab554&amp;oe=54AB13EA,"<Point><coordinates>-75.570816,6.290381,0.0</coordinates></Point>"
Grupo TocaTimbres,"""Tocatimbres es el nombre de una resistencia creativa que reconoce que es la creatividad y la imaginación el mayor aporte a una reestructuración social y que somos sus artistas, los llamados oráculos para los devenires del tiempo, los visionarios del futuro y los arqueólogos de sensaciones. Formato de cuatro integrantes, guitarras, percusión, voces y flautas; genero rock fusión con música de la costa caribeña colombiana. Cantautores de su repertorio.""",Músicas,https://www.facebook.com/grupo.tocatimbres,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://1.bp.blogspot.com/-sOYUULSSK6M/T0_CGBpxc6I/AAAAAAAAAK0/xAuiZExluV4/s1600/LOGO++TT.jpg,"<Point><coordinates>-75.572634,6.287572,0.0</coordinates></Point>"
Zona 2 HIP HOP,"Colectivo artístico que desde la comuna 6-Doce de Octubre, se extiende a las comunas 5-Castilla y 7 Robledo, para albergar jóvenes que a través de la danza, el canto , el tornamesismo y la pintura, crean personas antes que artistas. Una apuesta que le abona intencionalmente a la riqueza cultural y social a ese territorio para vivir dignamente.",Músicas,https://www.facebook.com/zona2hiphoplasemblanza,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c0.0.160.160/p160x160/11290_936952049664888_3392238924006130852_n.jpg?oh=930ec44cdf007c31e4588225add8cea1&amp;oe=54CB3BFC&amp;__gda__=1421834261_95eeb3d349a7c3f709b7b67cefaf114f,"<Point><coordinates>-75.582585,6.302692,0.0</coordinates></Point>"
La Marula Trío,"""La marula Trío es una propuesta musical que pretende integrar diversas músicas y estilos en un formato pequeño: Tuba, Clarinete y Percusión. Interpretando músicas Colombianas como: música andina o del interior, música del pacífico, música del atlántico, música de los llanos orientales y música internacional."" Ver más: http://goo.gl/QXBFCG",Músicas,,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,,"<Point><coordinates>-75.613382,6.242236,0.0</coordinates></Point>"
